state,jurisdiction_name,geography_type,population,official_domain,planning_pages_found,directory_pages_found,staff_links_found,profile_links_followed,mailto_links_found,emails_found,candidate_titles_found,pages_fetched,search_queries_run,found_contact,final_rejection_reason,elapsed_seconds,cache_hits,cache_misses,profile_pages_followed,early_stop,max_page_limit_hit,timeout_count,fetch_error_count,resolver_method,search_results_seen,search_results_rejected,planning_fallback_used,planning_fallback_url,planning_fallback_attempted,planning_fallback_success,fetch_failures_by_url
FL,Homestead,city,80725,www.homesteadfl.gov,0,4,28,0,0,2,0,10,0,no,no_planning_contact_found,24.60,11,14,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofhomestead.org/|status=0|err=connection_error|reason=ConnectError; https://cityofhomestead.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofhomestead.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofhomestead.gov/|status=0|err=connection_error|reason=ConnectError; https://www.homesteadcity.org/|status=0|err=connection_error|reason=ConnectError; https://homesteadcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.homesteadfl.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.homesteadfl.gov/planning|status=404|err=http_error|reason=http_404; ...+6 more
FL,Boynton Beach,city,80601,www.boynton-beach.org,2,4,31,0,4,3,0,10,7,no,no_planning_contact_found,42.77,8,19,0,no,yes,0,20,planning_search_fallback,35,34,yes,https://www.boynton-beach.org/257/Planning-Zoning,yes,yes,https://www.cityofboyntonbeach.org/|status=0|err=connection_error|reason=ConnectError; https://cityofboyntonbeach.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofboyntonbeach.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofboyntonbeach.gov/|status=0|err=connection_error|reason=ConnectError; https://www.boyntonbeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://boyntonbeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.boyntonbeachfl.gov/|status=0|err=connection_error|reason=ConnectError; https://boyntonbeachfl.gov/|status=0|err=connection_error|reason=ConnectError; ...+8 more
FL,North Port,city,80512,www.cityofnorthport.org,2,4,38,0,12,3,4,10,0,no,only_generic_email_found,17.85,11,11,0,no,yes,0,0,guess,0,0,no,,no,no,https://www.cityofnorthport.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofnorthport.org/planning|status=404|err=http_error|reason=http_404; https://www.cityofnorthport.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityofnorthport.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofnorthport.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofnorthport.org/staff|status=404|err=http_error|reason=http_404; https://www.cityofnorthport.org/DocumentCenter/View/1815/2026-Planning-and-Zoning-Commission-and-Zoning-Board-of-Adjustment-Schedule|status=200|err=http_error|reason=not_html:application/pdf; https://www.cityofnorthport.org/departments|status=404|err=http_error|reason=http_404; ...+3 more
FL,Kissimmee,city,79504,www.kissimmee.gov,5,0,38,0,13,9,2,10,1,yes,,27.61,6,24,0,yes,no,0,20,search_official,5,4,no,,no,no,https://www.cityofkissimmee.org/|status=0|err=connection_error|reason=ConnectError; https://cityofkissimmee.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofkissimmee.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofkissimmee.gov/|status=0|err=connection_error|reason=ConnectError; https://www.kissimmeecity.org/|status=0|err=connection_error|reason=ConnectError; https://kissimmeecity.org/|status=0|err=connection_error|reason=ConnectError; https://www.kissimmeefl.gov/|status=0|err=connection_error|reason=ConnectError; https://kissimmeefl.gov/|status=0|err=connection_error|reason=ConnectError; ...+11 more
VA,Lynchburg,city,79255,www.lynchburgva.gov,1,0,0,0,1,1,0,1,0,yes,,11.69,2,9,0,yes,no,0,12,guess,0,0,no,,no,no,https://www.cityoflynchburg.org/|status=0|err=connection_error|reason=ConnectError; https://cityoflynchburg.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoflynchburg.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoflynchburg.gov/|status=0|err=connection_error|reason=ConnectError; https://www.lynchburgcity.org/|status=0|err=connection_error|reason=ConnectError; https://lynchburgcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.lynchburgva.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.lynchburgva.gov/planning|status=404|err=http_error|reason=http_404; ...+1 more
WA,Pasco,city,78446,www.pasco-wa.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,16.09,0,8,0,no,no,0,16,planning_search_fallback,15,12,yes,https://www.pasco-wa.gov/162/Planning-Division,yes,no,https://www.cityofpasco.org/|status=0|err=connection_error|reason=ConnectError; https://cityofpasco.org/|status=0|err=connection_error|reason=ConnectError; https://www.pascocity.org/|status=0|err=connection_error|reason=ConnectError; https://pascocity.org/|status=0|err=connection_error|reason=ConnectError; https://www.pascowa.gov/|status=0|err=connection_error|reason=ConnectError; https://pascowa.gov/|status=0|err=connection_error|reason=ConnectError; https://www.pascowa.org/|status=0|err=connection_error|reason=ConnectError; https://pascowa.org/|status=0|err=connection_error|reason=ConnectError; ...+15 more
WI,Racine,city,77155,www.cityofracine.org,2,1,12,0,0,7,0,10,0,no,no_planning_contact_found,56.82,1,15,0,no,yes,0,0,guess,0,0,no,,no,no,https://www.cityofracine.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofracine.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofracine.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofracine.org/directory|status=404|err=http_error|reason=http_404; https://www.cityofracine.org/Directory.aspx|status=404|err=http_error|reason=http_404
PA,Bethlehem,city,77069,www.cityofbethlehem.org,0,0,0,0,2,1,0,1,0,no,only_generic_email_found,6.51,1,13,0,no,no,0,0,guess,0,0,no,,no,no,https://www.cityofbethlehem.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/planning|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/staff|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/directory|status=404|err=http_error|reason=http_404; https://www.cityofbethlehem.org/Directory.aspx|status=404|err=http_error|reason=http_404; ...+4 more
MI,Wyoming,city,76865,www.wyomingmi.gov,4,0,26,0,1,3,1,4,0,yes,,15.40,5,8,0,yes,no,0,12,guess,0,0,no,,no,no,https://www.cityofwyoming.org/|status=0|err=connection_error|reason=ConnectError; https://cityofwyoming.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofwyoming.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofwyoming.gov/|status=0|err=connection_error|reason=ConnectError; https://www.wyomingcity.org/|status=0|err=connection_error|reason=ConnectError; https://wyomingcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.wyomingmi.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.wyomingmi.gov/planning|status=404|err=http_error|reason=http_404
FL,Doral,city,76490,,0,0,0,0,0,0,0,0,8,no,no_official_site_found,29.28,0,8,0,no,no,0,16,,40,40,no,,no,no,https://www.cityofdoral.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdoral.org/|status=0|err=connection_error|reason=ConnectError; https://www.doralcity.org/|status=0|err=connection_error|reason=ConnectError; https://doralcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.doralfl.gov/|status=0|err=connection_error|reason=ConnectError; https://doralfl.gov/|status=0|err=connection_error|reason=ConnectError; https://www.doralfl.org/|status=0|err=connection_error|reason=ConnectError; https://doralfl.org/|status=0|err=connection_error|reason=ConnectError
MI,Rochester Hills,city,76086,www.rochesterhills.org,0,0,0,0,0,0,0,0,4,no,no_planning_contact_found,23.36,0,10,0,no,no,0,20,planning_search_fallback,20,19,yes,https://www.rochesterhills.org/departments/planning___economic_development/masterplanupdate2024.php,yes,no,https://www.cityofrochesterhills.org/|status=0|err=connection_error|reason=ConnectError; https://cityofrochesterhills.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofrochesterhills.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofrochesterhills.gov/|status=0|err=connection_error|reason=ConnectError; https://www.rochesterhillscity.org/|status=0|err=connection_error|reason=ConnectError; https://rochesterhillscity.org/|status=0|err=connection_error|reason=ConnectError; https://www.rochesterhillsmi.gov/|status=0|err=connection_error|reason=ConnectError; https://rochesterhillsmi.gov/|status=0|err=connection_error|reason=ConnectError; ...+17 more
PA,Scranton,city,76074,scrantontaxoffice.org,0,0,2,0,8,3,0,4,1,no,no_planning_contact_found,20.67,1,23,0,no,no,0,12,search_official,5,3,no,,no,no,https://www.cityofscranton.org/|status=0|err=connection_error|reason=ConnectError; https://cityofscranton.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofscranton.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofscranton.gov/|status=0|err=connection_error|reason=ConnectError; https://www.scrantoncity.org/|status=0|err=connection_error|reason=ConnectError; https://scrantoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.scrantonpa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://scrantonpa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+12 more
MI,Southfield,city,76025,www.cityofsouthfield.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,8.82,1,10,0,no,yes,0,0,guess,0,0,no,,no,no,
FL,Daytona Beach,city,75924,www.daytonabeach.gov,4,4,39,0,9,2,1,10,1,no,only_generic_email_found,28.71,13,15,0,no,yes,0,16,search_official,5,2,no,,no,no,https://www.cityofdaytonabeach.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdaytonabeach.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofdaytonabeach.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofdaytonabeach.gov/|status=0|err=connection_error|reason=ConnectError; https://www.daytonabeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://daytonabeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.daytonabeachfl.gov/|status=0|err=connection_error|reason=ConnectError; https://daytonabeachfl.gov/|status=0|err=connection_error|reason=ConnectError; ...+7 more
WA,Redmond,city,75721,,0,0,0,0,0,0,0,0,8,no,no_official_site_found,30.30,0,10,0,no,no,0,16,,40,36,no,,no,no,https://www.cityofredmond.org/|status=0|err=connection_error|reason=ConnectError; https://cityofredmond.org/|status=0|err=connection_error|reason=ConnectError; https://www.redmondcity.org/|status=0|err=connection_error|reason=ConnectError; https://redmondcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.redmondwa.gov/|status=0|err=connection_error|reason=ConnectError; https://redmondwa.gov/|status=0|err=connection_error|reason=ConnectError; https://www.redmondwa.org/|status=0|err=connection_error|reason=ConnectError; https://redmondwa.org/|status=0|err=connection_error|reason=ConnectError; ...+3 more
MT,Missoula,city,75600,www.missoulamt.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,13.97,1,16,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofmissoula.org/|status=0|err=connection_error|reason=ConnectError; https://cityofmissoula.org/|status=0|err=connection_error|reason=ConnectError; https://www.missoulacity.org/|status=0|err=connection_error|reason=ConnectError; https://missoulacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.missoulamt.gov/|status=0|err=connection_error|reason=ConnectError; https://missoulamt.gov/|status=0|err=connection_error|reason=ConnectError
RI,Pawtucket,city,75280,pawtucketri.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,20.00,0,8,0,no,no,0,16,planning_search_fallback,15,8,yes,https://pawtucketri.gov/planning-and-redevelopment/,yes,no,https://www.cityofpawtucket.org/|status=0|err=connection_error|reason=ConnectError; https://cityofpawtucket.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofpawtucket.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofpawtucket.gov/|status=0|err=connection_error|reason=ConnectError; https://www.pawtucketcity.org/|status=0|err=connection_error|reason=ConnectError; https://pawtucketcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.pawtucketri.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://pawtucketri.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+24 more
WI,Appleton,city,74873,www.appletonwi.gov,5,0,119,0,0,25,0,10,0,no,only_generic_email_found,48.82,11,20,0,no,yes,0,10,guess,0,0,no,,no,no,https://www.cityofappleton.org/|status=200|err=http_error|reason=empty_body; https://cityofappleton.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofappleton.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofappleton.gov/|status=0|err=connection_error|reason=ConnectError; https://www.appletoncity.org/|status=0|err=connection_error|reason=ConnectError; https://appletoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.appletonwi.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.appletonwi.gov/departments/planning|status=404|err=http_error|reason=http_404; ...+12 more
FL,Lauderhill,city,73961,www.lauderhillfl.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,42.43,11,7,0,no,yes,2,12,guess,0,0,no,,no,no,https://www.cityoflauderhill.org/|status=0|err=connection_error|reason=ConnectError; https://cityoflauderhill.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoflauderhill.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoflauderhill.gov/|status=0|err=connection_error|reason=ConnectError; https://www.lauderhillcity.org/|status=0|err=connection_error|reason=ConnectError; https://lauderhillcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.lauderhillfl.gov/|status=0|err=timeout|reason=timeout; https://lauderhillfl.gov/|status=0|err=robots_denied|reason=robots_txt_disallow
CT,New Britain,city,73301,www.newbritainct.gov,0,0,0,0,0,0,0,0,5,no,no_planning_contact_found,16.48,0,6,0,no,no,0,12,planning_search_fallback,25,19,yes,https://www.newbritainct.gov/services/planning-n-development,yes,no,https://www.cityofnewbritain.org/|status=0|err=connection_error|reason=ConnectError; https://cityofnewbritain.org/|status=0|err=connection_error|reason=ConnectError; https://www.newbritaincity.org/|status=0|err=connection_error|reason=ConnectError; https://newbritaincity.org/|status=0|err=connection_error|reason=ConnectError; https://www.newbritainct.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://newbritainct.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.newbritainct.org/|status=0|err=connection_error|reason=ConnectError; https://newbritainct.org/|status=0|err=connection_error|reason=ConnectError; ...+20 more
MI,Kalamazoo,city,73132,cityofkalamazoo.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,1.29,10,0,0,no,yes,0,0,cache,0,0,no,,no,no,
FL,Tamarac,city,71887,cityoftamarac.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,13.79,1,10,0,no,yes,1,0,guess,0,0,no,,no,no,https://www.cityoftamarac.org/|status=0|err=robots_denied|reason=robots_txt_disallow
WA,Marysville,city,71570,www.marysvillewa.gov,0,4,16,0,0,0,0,5,0,no,no_planning_contact_found,14.59,6,16,0,no,no,0,8,guess,0,0,no,,no,no,https://www.cityofmarysville.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofmarysville.gov/|status=0|err=connection_error|reason=ConnectError; https://www.marysvillecity.org/|status=0|err=connection_error|reason=ConnectError; https://marysvillecity.org/|status=0|err=connection_error|reason=ConnectError; https://www.marysvillewa.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.marysvillewa.gov/planning|status=404|err=http_error|reason=http_404; https://www.marysvillewa.gov/departments/planning|status=404|err=http_error|reason=http_404; https://www.marysvillewa.gov/community-development|status=404|err=http_error|reason=http_404; ...+6 more
DE,Wilmington,city,71124,wilmingtondewater.gov,0,2,1,0,10,2,0,4,1,no,no_planning_contact_found,22.73,1,22,0,no,no,0,16,search_official,5,3,no,,no,no,https://www.cityofwilmington.org/|status=0|err=connection_error|reason=ConnectError; https://cityofwilmington.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofwilmington.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofwilmington.gov/|status=0|err=connection_error|reason=ConnectError; https://www.wilmingtoncity.org/|status=0|err=connection_error|reason=ConnectError; https://wilmingtoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.wilmingtonde.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://wilmingtonde.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+13 more
WI,Waukesha,city,70779,www.waukesha-wi.gov,2,1,49,1,5,7,1,10,1,no,only_generic_email_found,34.52,11,34,0,no,yes,0,20,search_official,5,0,no,,no,no,https://www.cityofwaukesha.org/|status=0|err=connection_error|reason=ConnectError; https://cityofwaukesha.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofwaukesha.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofwaukesha.gov/|status=0|err=connection_error|reason=ConnectError; https://www.waukeshacity.org/|status=0|err=connection_error|reason=ConnectError; https://waukeshacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.waukeshawi.gov/|status=0|err=connection_error|reason=ConnectError; https://waukeshawi.gov/|status=0|err=connection_error|reason=ConnectError; ...+26 more
WI,Eau Claire,city,69274,www.eauclairecounty.gov,1,0,15,0,1,19,0,2,1,yes,,19.49,3,16,0,yes,no,0,16,search_official,5,2,no,,no,no,https://www.cityofeauclaire.org/|status=0|err=connection_error|reason=ConnectError; https://cityofeauclaire.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofeauclaire.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofeauclaire.gov/|status=0|err=connection_error|reason=ConnectError; https://www.eauclairecity.org/|status=0|err=connection_error|reason=ConnectError; https://eauclairecity.org/|status=0|err=connection_error|reason=ConnectError; https://www.eauclairewi.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://eauclairewi.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+13 more
FL,Weston,city,67952,www.cityofweston.org,0,0,7,0,22,12,0,10,0,no,no_planning_contact_found,11.30,1,19,0,no,yes,0,0,guess,0,0,no,,no,no,https://www.cityofweston.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/planning|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/staff|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/directory|status=404|err=http_error|reason=http_404; https://www.cityofweston.org/Directory.aspx|status=404|err=http_error|reason=http_404; ...+1 more
GA,Albany,city,67939,www.albanyga.gov,1,0,15,0,9,7,0,2,0,yes,,10.93,3,12,0,yes,no,0,8,guess,0,0,no,,no,no,https://www.cityofalbany.org/|status=0|err=connection_error|reason=ConnectError; https://cityofalbany.org/|status=0|err=connection_error|reason=ConnectError; https://www.albanycity.org/|status=0|err=connection_error|reason=ConnectError; https://albanycity.org/|status=0|err=connection_error|reason=ConnectError; https://www.albanyga.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.albanyga.gov/planning|status=404|err=http_error|reason=http_404; https://www.albanyga.gov/departments/planning|status=404|err=http_error|reason=http_404; https://www.albanyga.gov/community-development|status=404|err=http_error|reason=http_404; ...+4 more
FL,Delray Beach,city,66940,www.delraybeachfl.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,18.89,0,8,0,no,no,0,16,planning_search_fallback,15,8,yes,https://www.delraybeachfl.gov/government/city-departments/development-services,yes,no,https://www.cityofdelraybeach.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdelraybeach.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofdelraybeach.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofdelraybeach.gov/|status=0|err=connection_error|reason=ConnectError; https://www.delraybeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://delraybeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.delraybeachfl.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://delraybeachfl.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+22 more
WA,Sammamish,city,66375,sammamishwa.gov,1,0,3,0,14,6,0,4,0,no,no_planning_contact_found,18.05,5,19,0,no,no,0,14,guess,0,0,no,,no,no,https://www.cityofsammamish.org/|status=0|err=connection_error|reason=ConnectError; https://cityofsammamish.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofsammamish.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofsammamish.gov/|status=0|err=connection_error|reason=ConnectError; https://www.sammamishcity.org/|status=0|err=connection_error|reason=ConnectError; https://sammamishcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.sammamishwa.gov/|status=0|err=connection_error|reason=ConnectError; https://sammamishwa.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; ...+11 more
GA,Alpharetta,city,66355,www.alpharettaga.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,15.00,1,16,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofalpharetta.org/|status=0|err=connection_error|reason=ConnectError; https://cityofalpharetta.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofalpharetta.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofalpharetta.gov/|status=0|err=connection_error|reason=ConnectError; https://www.alpharettacity.org/|status=0|err=connection_error|reason=ConnectError; https://alpharettacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.alpharettaga.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://alpharettaga.gov/|status=0|err=robots_denied|reason=robots_txt_disallow
WI,Oshkosh,city,66247,www.oshkoshwi.gov,5,4,23,0,0,0,0,10,0,no,no_planning_contact_found,11.91,11,8,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofoshkosh.org/|status=0|err=connection_error|reason=ConnectError; https://cityofoshkosh.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofoshkosh.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofoshkosh.gov/|status=0|err=connection_error|reason=ConnectError; https://www.oshkoshcity.org/|status=0|err=connection_error|reason=ConnectError; https://oshkoshcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.oshkoshwi.gov/Directory.aspx|status=404|err=http_error|reason=http_404; https://www.oshkoshwi.gov/departments/HumanResources/EmployeeRecognitionProgram.aspx|status=404|err=http_error|reason=http_404
MI,Novi,city,66224,www.cityofnovi.org,5,0,22,0,5,5,1,6,0,yes,,9.51,1,14,0,yes,no,0,0,guess,0,0,no,,no,no,https://www.cityofnovi.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/planning|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/staff|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/directory|status=404|err=http_error|reason=http_404; https://www.cityofnovi.org/Directory.aspx|status=404|err=http_error|reason=http_404
WI,Janesville,city,65813,cms.ci.janesville.wi.us,5,3,0,0,0,0,0,10,2,no,no_planning_contact_found,22.30,1,18,0,no,yes,0,16,search_official,10,5,no,,no,no,https://www.cityofjanesville.org/|status=0|err=connection_error|reason=ConnectError; https://cityofjanesville.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofjanesville.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofjanesville.gov/|status=0|err=connection_error|reason=ConnectError; https://www.janesvillecity.org/|status=0|err=connection_error|reason=ConnectError; https://janesvillecity.org/|status=0|err=connection_error|reason=ConnectError; https://www.janesvillewi.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://janesvillewi.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+6 more
FL,Ocala,city,64903,www.ocalafl.gov,0,0,0,0,0,0,0,0,5,no,no_planning_contact_found,19.27,0,4,0,no,no,0,8,planning_search_fallback,25,20,yes,https://www.ocalafl.gov/government/city-departments-a-h/growth-management/planning,yes,no,https://www.cityofocala.org/|status=0|err=connection_error|reason=ConnectError; https://cityofocala.org/|status=0|err=connection_error|reason=ConnectError; https://www.ocalacity.org/|status=0|err=connection_error|reason=ConnectError; https://ocalacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.ocalafl.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://ocalafl.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.ocalafl.org/|status=0|err=robots_denied|reason=robots_txt_disallow; https://ocalafl.org/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+17 more
FL,Port Orange,city,63818,cityofportorange.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,14.64,1,11,0,no,yes,0,2,guess,0,0,no,,no,no,https://www.cityofportorange.org/|status=0|err=connection_error|reason=ConnectError
WA,Lakewood,city,63034,www.cityoflakewood.org,0,0,0,0,0,0,0,1,0,no,no_planning_contact_found,6.18,2,12,0,no,no,0,0,guess,0,0,no,,no,no,https://www.cityoflakewood.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/planning|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/staff|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/directory|status=404|err=http_error|reason=http_404; https://www.cityoflakewood.org/Directory.aspx|status=404|err=http_error|reason=http_404; ...+4 more
MI,Taylor,city,62405,www.ci.taylor.mi.us,4,4,17,0,0,1,0,10,4,no,no_planning_contact_found,31.20,1,17,0,no,yes,0,12,search_official,20,19,no,,no,no,https://www.cityoftaylor.org/|status=0|err=robots_denied|reason=robots_txt_disallow; https://cityoftaylor.org/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.taylorcity.org/|status=0|err=connection_error|reason=ConnectError; https://taylorcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.taylormi.gov/|status=0|err=connection_error|reason=ConnectError; https://taylormi.gov/|status=0|err=connection_error|reason=ConnectError; https://www.taylormi.org/|status=0|err=connection_error|reason=ConnectError; https://taylormi.org/|status=0|err=connection_error|reason=ConnectError; ...+1 more
FL,Sanford,city,62292,www.sanfordfl.gov,5,0,0,0,7,5,0,7,0,no,no_planning_contact_found,30.00,7,6,0,no,no,0,0,cache,0,0,no,,no,no,https://www.sanfordfl.gov/staff|status=404|err=http_error|reason=http_404; https://www.sanfordfl.gov/directory|status=404|err=http_error|reason=http_404; https://www.sanfordfl.gov/Directory.aspx|status=404|err=http_error|reason=http_404; https://www.sanfordfl.gov/departments|status=404|err=http_error|reason=http_404; https://www.sanfordfl.gov/zoning|status=404|err=http_error|reason=http_404; https://www.sanfordfl.gov/land-use|status=200|err=http_error|reason=not_html:application/pdf
